symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
WAVESBUSD,0.05400000,3.734,1.47505879,1.44600000,1.50000000,17.40000000,1.49600000,190.62000000,1.49800000,135.75000000,1.44600000,1.50600000,1.42800000,41647.09000000,61431.90623000,1697729084666,1697815484666,12616839,12617275,437
XTZBUSD,0.01800000,2.757,0.65934652,0.65400000,0.67100000,1000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.65300000,0.67100000,0.65300000,51404.00000000,33893.04860000,1695884406043,1695970806043,11608066,11608249,184
EOSBULLUSDT,0.00000000,0.000,0.00000000,3.85000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
EOSBULLBUSD,0.00000000,0.000,0.00000000,3.90000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
EOSBEARUSDT,0.00000000,0.000,0.00000000,30.21000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
EOSBEARBUSD,0.00000000,0.000,0.00000000,29.81000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
XRPBULLUSDT,0.00000000,0.000,0.00000000,8.74000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
XRPBULLBUSD,0.00000000,0.000,0.00000000,8.78000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
XRPBEARUSDT,0.00000000,0.000,0.00000000,548.55000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
XRPBEARBUSD,0.00000000,0.000,0.00000000,547.33000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BATBUSD,0.00220000,1.304,0.16952857,0.16850000,0.17090000,132.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.16870000,0.17280000,0.16730000,82819.00000000,14040.18660000,1694062809911,1694149209911,6068424,6068635,212
ENJBUSD,0.00010000,0.048,0.20869250,0.20780000,0.20800000,1939.90000000,0.20790000,1495.00000000,0.20820000,958.40000000,0.20790000,0.21190000,0.20390000,258272.50000000,53899.53405000,1697729062393,1697815462393,17745677,17746390,714
NANOBUSD,0.00000000,0.000,0.00000000,2.22500000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ONTBUSD,-0.00250000,-1.563,0.15801179,0.16060000,0.15740000,689.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.15990000,0.15990000,0.15660000,71114.00000000,11236.85050000,1697094009878,1697180409878,6295197,6295335,139
RVNBUSD,-0.00027000,-1.740,0.01531986,0.01547000,0.01525000,30415.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.01552000,0.01569000,0.01505000,1294259.50000000,19827.87343700,1695279616970,1695366016970,6822517,6822791,275
STRATBUSD,0.00000000,0.000,0.00000000,0.49150000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STRATBNB,0.00000000,0.000,0.00000000,0.01900000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STRATUSDT,0.00000000,0.000,0.00000000,0.49040000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
AIONBUSD,0.00000000,0.000,0.00000000,0.07210000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
AIONUSDT,0.00000000,0.000,0.00000000,0.00943000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MBLBNB,0.00000000,0.000,0.00000000,0.00001202,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MBLBTC,0.00000000,0.000,0.00000000,0.00000005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MBLUSDT,0.00009500,3.093,0.00309730,0.00307400,0.00316600,13465.00000000,0.00316100,3543.00000000,0.00316300,41023.00000000,0.00307100,0.00319200,0.00303300,191552733.00000000,593296.52707700,1697729027492,1697815427492,31877373,31882992,5620
COTIBNB,-0.00000030,-0.172,0.00017432,0.00017520,0.00017440,10502.00000000,0.00017420,10426.00000000,0.00017520,61.00000000,0.00017470,0.00017640,0.00017180,99371.00000000,17.32273260,1697728019446,1697814419446,2158809,2158892,84
COTIBTC,-0.00000002,-1.562,0.00000127,0.00000128,0.00000126,3813.00000000,0.00000125,130626.00000000,0.00000127,55341.00000000,0.00000128,0.00000129,0.00000124,671629.00000000,0.85204902,1697729084292,1697815484292,16161385,16161810,426
COTIUSDT,0.00045000,1.224,0.03698255,0.03675000,0.03720000,4772.00000000,0.03720000,18898.00000000,0.03721000,9225.00000000,0.03675000,0.03782000,0.03607000,41232657.00000000,1524889.00401000,1697729081235,1697815481235,59395154,59409258,14105
ALGOBUSD,0.00200000,2.250,0.09063540,0.08880000,0.09090000,53052.00000000,0.09080000,47842.00000000,0.09090000,14915.00000000,0.08890000,0.09270000,0.08800000,2036532.00000000,184581.89870000,1697729074209,1697815474209,19442353,19443769,1417
BTTBUSD,0.00000000,0.000,0.00000000,0.00277800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
TOMOBUSD,-0.00010000,-0.007,1.54008406,1.51240000,1.51240000,14.00000000,1.51000000,15.90000000,1.51220000,132.40000000,1.51250000,1.57800000,1.48910000,44906.40000000,69159.63064000,1697729078454,1697815478454,4117293,4118011,719
XMRBUSD,3.30000000,2.180,153.49885379,151.60000000,154.70000000,0.13900000,154.70000000,11.87800000,154.90000000,0.35200000,151.40000000,157.30000000,149.80000000,719.50200000,110442.73230000,1697729088698,1697815488698,6825568,6826305,738
ZECBUSD,0.59000000,2.369,25.05443783,24.91000000,25.50000000,71.56700000,0.00000000,0.00000000,0.00000000,0.00000000,24.91000000,25.50000000,24.78000000,898.94200000,22522.48645000,1697698860668,1697785260668,8682974,8683125,152
BNBBULLUSDT,0.00000000,0.000,0.00000000,57.21000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BNBBULLBUSD,0.00000000,0.000,0.00000000,58.37000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BNBBEARUSDT,0.00000000,0.000,0.00000000,58.61000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BNBBEARBUSD,0.00000000,0.000,0.00000000,57.21000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STPTBNB,0.00000000,0.000,0.00000000,0.00067000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STPTBTC,-0.00000021,-9.130,0.00000217,0.00000229,0.00000209,5505.00000000,0.00000209,28628.00000000,0.00000210,56178.00000000,0.00000230,0.00000232,0.00000206,5379628.00000000,11.67338095,1697729085360,1697815485360,4964414,4967240,2827
STPTUSDT,-0.00381000,-5.801,0.06274699,0.06568000,0.06187000,316.40000000,0.06181000,7441.10000000,0.06187000,1862.20000000,0.06568000,0.06680000,0.06032000,112130085.50000000,7035825.43429300,1697729086403,1697815486403,20469893,20522147,52255
BTCZAR,15576.00000000,2.784,571334.48593599,559716.00000000,575129.00000000,0.00179000,574683.00000000,0.01110000,575120.00000000,0.06150000,559553.00000000,587837.00000000,555398.00000000,19.80800000,11316993.49742000,1697729087215,1697815487215,1304621,1306467,1847
ETHZAR,645.00000000,2.111,30977.20771210,30547.00000000,31202.00000000,0.34340000,31247.00000000,0.39800000,31280.00000000,0.01060000,30557.00000000,31800.00000000,30449.00000000,93.24830000,2888571.95790000,1697729074202,1697815474202,239755,240171,417
BNBZAR,0.00000000,0.000,0.00000000,5000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
USDTZAR,-0.13000000,-0.664,19.52851236,19.58000000,19.45000000,14.00000000,19.45000000,2360.00000000,19.46000000,114.00000000,19.58000000,19.63000000,19.44000000,435077.00000000,8496406.57000000,1697729076904,1697815476904,542996,545839,2844
BUSDZAR,-0.04000000,-0.205,19.54115284,19.57000000,19.50000000,102.00000000,19.44000000,50.00000000,19.45000000,106.00000000,19.54000000,19.63000000,19.47000000,139395.00000000,2723939.00000000,1697728811802,1697815211802,419712,419906,195
BTCBKRW,0.00000000,0.000,0.00000000,42029197.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ETHBKRW,0.00000000,0.000,0.00000000,1277799.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BNBBKRW,0.00000000,0.000,0.00000000,44687.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
WTCUSDT,0.00320000,2.216,0.14797034,0.14430000,0.14760000,199.00000000,0.14740000,3663.00000000,0.14770000,2657.00000000,0.14440000,0.15090000,0.14350000,3767426.00000000,557467.29120000,1697728937714,1697815337714,17535555,17539358,3804
DATABUSD,-0.00027000,-1.139,0.02343748,0.02392000,0.02344000,7826.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02371000,0.02371000,0.02330000,468540.60000000,10981.41264600,1696482020099,1696568420099,7819337,7819405,69
DATAUSDT,0.00033000,1.377,0.02423524,0.02396000,0.02429000,357.90000000,0.02428000,4347.70000000,0.02432000,10664.10000000,0.02396000,0.02463000,0.02392000,9075733.20000000,219952.58947600,1697729086080,1697815486080,26751579,26754759,3181
XZCUSDT,0.00000000,0.000,0.00000000,4.44600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
SOLBNB,0.00970000,8.341,0.12219878,0.11630000,0.12600000,0.45000000,0.12600000,5.04000000,0.12620000,26.28000000,0.11630000,0.12800000,0.11610000,27804.04000000,3397.61964400,1697729087868,1697815487868,10448911,10457270,8360
SOLBTC,0.00005260,6.136,0.00089251,0.00085690,0.00090990,9.99000000,0.00090980,17.83000000,0.00091010,58.03000000,0.00085730,0.00092590,0.00085640,669478.15000000,597.51753779,1697729088371,1697815488371,74892423,74949554,57132
SOLUSDT,2.38000000,9.706,25.93104528,24.51000000,26.90000000,26.06000000,26.90000000,2726.28000000,26.91000000,1785.57000000,24.52000000,27.50000000,24.48000000,8411330.25000000,218114585.57000000,1697729088925,1697815488925,382200641,382516818,316178
SOLBUSD,2.40000000,9.788,25.97701808,24.51000000,26.92000000,11.20000000,26.91000000,7.43000000,26.92000000,493.12000000,24.52000000,27.50000000,24.49000000,555793.21000000,14437850.26440000,1697729088377,1697815488377,128145513,128193166,47654
BTCIDRT,0.00,0.000,0.00,693891182.00,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1689573709926,1689660109926,-1,-1,0
BNBIDRT,0.00,0.000,0.00,4286985.00,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1689573709926,1689660109926,-1,-1,0
USDTIDRT,46.00,0.291,15842.82,15829.00,15862.00,16.00000000,15856.00,70.00000000,15862.00,735.00000000,15816.00,15886.00,15787.00,192113.00000000,3043611109.00,1697728329514,1697814729514,2942842,2943566,725
BUSDIDRT,0.00,0.000,0.00,14389.00,0.00,0.00000000,0.00,0.00000000,0.00,0.00000000,0.00,0.00,0.00,0.00000000,0.00,1689573709926,1689660109926,-1,-1,0
CTSIBTC,-0.00000002,-0.461,0.00000433,0.00000435,0.00000432,26.00000000,0.00000430,18716.00000000,0.00000431,1569.00000000,0.00000434,0.00000438,0.00000428,267527.00000000,1.15882919,1697729088713,1697815488713,10802897,10803086,190
CTSIUSDT,0.00300000,2.412,0.12636848,0.12450000,0.12740000,392.00000000,0.12740000,1996.00000000,0.12750000,42938.00000000,0.12440000,0.13010000,0.12300000,5590172.00000000,706421.52100000,1697729089009,1697815489009,40279805,40282859,3055
CTSIBNB,0.00000700,1.180,0.00059655,0.00059300,0.00060000,16.00000000,0.00059600,20119.00000000,0.00059900,13101.00000000,0.00059300,0.00060100,0.00058500,8594.00000000,5.12677900,1697729088719,1697815488719,4165658,4165676,19
CTSIBUSD,0.00310000,2.496,0.12785659,0.12510000,0.12730000,229.00000000,0.12730000,1033.00000000,0.12760000,1366.00000000,0.12420000,0.12970000,0.12300000,69039.00000000,8827.09080000,1697729055057,1697815455057,8989503,8989583,81
HIVEBNB,0.00000000,0.000,0.00000000,0.00429000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
HIVEBTC,0.00000009,0.882,0.00001016,0.00001012,0.00001029,259.00000000,0.00001028,1977.00000000,0.00001029,954.00000000,0.00001020,0.00001034,0.00000999,135389.00000000,1.37488930,1697729079704,1697815479704,7314538,7315151,614
HIVEUSDT,0.01380000,4.759,0.29753312,0.28980000,0.30380000,49.00000000,0.30370000,329.00000000,0.30390000,5116.00000000,0.29000000,0.30570000,0.28980000,1402101.00000000,417171.48030000,1697729082449,1697815482449,21866382,21870847,4466
CHRBNB,0.00000540,1.308,0.00041218,0.00041070,0.00041840,2429.00000000,0.00041680,1125.00000000,0.00041840,1173.00000000,0.00041300,0.00041840,0.00040600,65728.00000000,27.09151070,1697729045945,1697815445945,4790951,4791067,117
CHRBTC,-0.00000002,-0.660,0.00000300,0.00000302,0.00000301,59.00000000,0.00000301,943.00000000,0.00000302,7870.00000000,0.00000303,0.00000303,0.00000297,158926.00000000,0.47674209,1697729065717,1697815465717,10999247,10999488,242
CHRUSDT,0.00260000,3.006,0.08794680,0.08660000,0.08910000,1694.00000000,0.08900000,2745.00000000,0.08910000,17997.00000000,0.08650000,0.09020000,0.08540000,6986121.00000000,614406.99030000,1697729060174,1697815460174,73772103,73778181,6079
BTCUPUSDT,0.36300000,6.538,5.83008550,5.54700000,5.91500000,85.21000000,5.91400000,2.74000000,5.92800000,9.66000000,5.55200000,6.20000000,5.49500000,86394.31000000,503686.21395000,1697729079647,1697815479647,28830053,28840855,10803
BTCDOWNUSDT,-0.00056700,-7.826,0.00678237,0.00726000,0.00667800,18302.94000000,0.00667400,37256.96000000,0.00667800,4163.92000000,0.00724500,0.00732000,0.00631000,164622673.63000000,1116531.23779956,1697729079601,1697815479601,37904227,37919382,15156
GXSUSDT,0.00000000,0.000,0.00000000,1.79230000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
